election,source_family,source_file,source_format,sheets,sheet_count,max_rows,max_columns,ags_field_detected,ags_field_locations,stat_area_field_detected,stat_area_field_locations,audit_interpretation
K17,cbs_ballot_to_statistical_area_crosswalk,raw/cbs_historical_geography/k17_ballot_to_stat1995.xls,xls,הסברים|מיון לפי אזור סטטיסטי 1995|מיון לפי קלפי 2006,3,6301,4,False,,True,הסברים!R17C1|הסברים!R27C1|מיון לפי אזור סטטיסטי 1995!R9C1|מיון לפי אזור סטטיסטי 1995!R11C4|מיון לפי קלפי 2006!R11C4,official_direct_ballot_to_statistical_area_crosswalk
K18,cbs_ballot_to_statistical_area_crosswalk,raw/cbs_historical_geography/k18_ballot_to_stat2008.xlsx,xlsx,הסברים|מיון לפי אזור סטטיסטי 2008|מיון לפי קלפי 2008,3,7572,5,False,,True,הסברים!R16C1|הסברים!R22C2|מיון לפי אזור סטטיסטי 2008!R9C1|מיון לפי אזור סטטיסטי 2008!R12C1|מיון לפי קלפי 2008!R12C1,official_direct_ballot_to_statistical_area_crosswalk
K19,cbs_ballot_to_statistical_area_crosswalk,raw/cbs_historical_geography/k19_ballot_to_stat2011.xlsx,xlsx,הסברים|kalpi2013_stat2011,2,9601,5,False,,True,הסברים!R22C2|הסברים!R23C2|kalpi2013_stat2011!R12C4|kalpi2013_stat2011!R12C5,official_direct_ballot_to_statistical_area_crosswalk
K20,cbs_ballot_to_statistical_area_crosswalk,raw/cbs_historical_geography/k20_ballot_to_stat2011.xlsx,xlsx,הסברים|kalpi2015_stat2011,2,9663,5,False,,True,הסברים!R21C2|הסברים!R22C2|kalpi2015_stat2011!R12C4|kalpi2015_stat2011!R12C5,official_direct_ballot_to_statistical_area_crosswalk
K20,cec_polling_place_report,raw/archive_knesset20_tell_the_polls_9_3.xls,xls,DataSheet|גיליון1,2,10465,15,False,,False,,cec_polling_place_report_has_no_ags_field
K21,cbs_ballot_to_statistical_area_crosswalk,raw/cbs_historical_geography/k21_ballot_to_stat2011.xlsx,xlsx,הסברים|kalpi_April2019_stat2011,2,10146,5,False,,True,הסברים!R21C2|הסברים!R22C2|kalpi_April2019_stat2011!R12C4|kalpi_April2019_stat2011!R12C5,official_direct_ballot_to_statistical_area_crosswalk
K21,cec_polling_place_report,raw/archive_knesset21_kalpies_full_report.xls,xls,DataSheet|גיליון1,2,10460,12,False,,False,,cec_polling_place_report_has_no_ags_field
K22,cbs_ballot_to_statistical_area_crosswalk,raw/cbs_historical_geography/k22_ballot_to_stat2011.xlsx,xlsx,הסברים|kalpi_September2019_stat2011,2,10193,5,False,,True,הסברים!R21C2|הסברים!R22C2|kalpi_September2019_stat2011!R12C4|kalpi_September2019_stat2011!R12C5,official_direct_ballot_to_statistical_area_crosswalk
K22,cec_polling_place_report,raw/archive_knesset22_kalpies_report_tofes_b_6th_edition_15_9.xlsx,xlsx,DataSheet|גיליון1,2,10544,12,False,,False,,cec_polling_place_report_has_no_ags_field
K23,cbs_ballot_to_statistical_area_crosswalk,raw/cbs_historical_geography/k23_ballot_to_stat2011.xlsx,xlsx,הסברים|kalpi2020_stat2011,2,10226,5,False,,True,הסברים!R21C2|הסברים!R22C2|kalpi2020_stat2011!R12C4|kalpi2020_stat2011!R12C5,official_direct_ballot_to_statistical_area_crosswalk
K23,cec_polling_place_report,raw/archive_knesset23_kalpies_report_19_1_20_1.xlsx,xlsx,DataSheet|גיליון1,2,10632,30,True,DataSheet!R1C17,False,,cec_polling_place_report_contains_ags
K24,cbs_ballot_to_statistical_area_crosswalk,raw/cbs_historical_geography/k24_ballot_to_stat2011.xlsx,xlsx,הסברים|kalpi2021_stat2011,2,10392,5,False,,True,הסברים!R21C2|הסברים!R22C2|kalpi2021_stat2011!R12C4|kalpi2021_stat2011!R12C5,official_direct_ballot_to_statistical_area_crosswalk
K24,cec_polling_place_report,raw/archive_knesset24_kalpies_report_tofes_a_25_12_20.xlsx,xlsx,DataSheet|Sheet1,2,11210,11,False,,False,,cec_polling_place_report_has_no_ags_field
K24,cec_polling_place_report,raw/archive_knesset24_kalpies_report_tofes_b_18_3_21.xlsx,xlsx,DataSheet|גיליון1,2,12128,11,False,,False,,cec_polling_place_report_has_no_ags_field
K25,cbs_ballot_to_statistical_area_crosswalk,raw/cbs_historical_geography/k25_ballot_to_stat2011.xlsx,xlsx,הסברים|kalpi_November_stat2011,2,10773,5,False,,True,הסברים!R21C2|הסברים!R22C2|kalpi_November_stat2011!R12C4|kalpi_November_stat2011!R12C5,official_direct_ballot_to_statistical_area_crosswalk
K25,cec_polling_place_report,raw/election-25_kalpi-places_kalpies_list_10_7_nagish.xlsx,xlsx,DataSheet,1,11548,11,False,,False,,cec_polling_place_report_has_no_ags_field
K25,cec_polling_place_report,raw/election-25_kalpi-places_statistic_report_10_7_nagish.xlsx,xlsx,דוח סטטיסטי קלפיות,1,22,8,False,,False,,cec_polling_place_report_has_no_ags_field
