effective_locality_code,effective_locality_name,omitted_elections,omitted_election_count,pending_ballot_rows,pending_eligible_voters,pending_actual_voters,recurrence_class
1292,ג'דיידה-מכר,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,175,117631,64857,all_nine_elections
2720,טירה,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,227,149459,93074,all_nine_elections
2730,טייבה,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,365,230891,143405,all_nine_elections
481,מגאר,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,206,131351,60371,all_nine_elections
499,יפיע,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,163,107491,56914,all_nine_elections
509,כפר כנא,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,178,118409,69932,all_nine_elections
510,כפר מנדא,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,154,100075,67727,all_nine_elections
531,עראבה,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,204,134719,85150,all_nine_elections
542,ריינה,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,141,93696,50700,all_nine_elections
634,כפר קאסם,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,196,120448,83523,all_nine_elections
637,ערערה,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,165,108193,58141,all_nine_elections
638,קלנסווה,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,179,115009,65822,all_nine_elections
654,כפר קרע,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,155,104475,65249,all_nine_elections
7500,סח'נין,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,264,174788,132553,all_nine_elections
8800,שפרעם,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,357,238455,129386,all_nine_elections
8900,טמרה,K17|K18|K19|K20|K21|K22|K23|K24|K25,9,280,185693,123614,all_nine_elections
1327,מעלה עירון,K18|K19|K20|K21|K22|K23|K24|K25,8,124,73217,34847,seven_or_eight_elections
473,אבו סנאן,K18|K19|K20|K21|K22|K23|K24|K25,8,112,71097,41944,seven_or_eight_elections
478,אכסאל,K18|K19|K20|K21|K22|K23|K24|K25,8,109,71536,38540,seven_or_eight_elections
480,בית ג'ן,K18|K19|K20|K21|K22|K23|K24|K25,8,104,65823,35228,seven_or_eight_elections
498,טורעאן,K18|K19|K20|K21|K22|K23|K24|K25,8,110,70512,38937,seven_or_eight_elections
502,ירכא,K18|K19|K20|K21|K22|K23|K24|K25,8,123,78005,46879,seven_or_eight_elections
522,נחף,K18|K19|K20|K21|K22|K23|K24|K25,8,98,62860,38269,seven_or_eight_elections
529,אעבלין,K18|K19|K20|K21|K22|K23|K24|K25,8,113,68489,40485,seven_or_eight_elections
532,עין מאהל,K18|K19|K20|K21|K22|K23|K24|K25,8,101,67064,38325,seven_or_eight_elections
537,פוריידיס,K18|K19|K20|K21|K22|K23|K24|K25,8,101,65145,32316,seven_or_eight_elections
541,ג'סר א-זרקא,K18|K19|K20|K21|K22|K23|K24|K25,8,108,66697,25885,seven_or_eight_elections
490,דייר אל-אסד,K19|K20|K21|K22|K23|K24|K25,7,90,55572,41024,seven_or_eight_elections
516,מג'ד אל-כרום,K19|K20|K21|K22|K23|K24|K25,7,111,69698,47285,seven_or_eight_elections
534,עספיא,K19|K20|K21|K22|K23|K24|K25,7,98,62164,31957,seven_or_eight_elections
6000,באקה אל-גרביה,K19|K20|K21|K22|K23|K24|K25,7,206,128871,63539,seven_or_eight_elections
628,ג'ת,K19|K20|K21|K22|K23|K24|K25,7,88,54914,23630,seven_or_eight_elections
1054,תל שבע,K18|K19,2,17,11525,4667,one_to_three_elections
2710,אום אל-פחם,K20|K24,2,14,8880,5208,one_to_three_elections
494,דאלית אל-כרמל,K19|K20,2,32,21186,12327,one_to_three_elections
1192,ערערה-בנגב,K20,1,10,6558,3773,one_to_three_elections
