election,stat_area_vintage,statistical_area_polygons,polygons_with_assigned_ballots,assigned_polygons_in_localities_with_pending_ballots,polygons_without_assigned_ballots,arcgis_detailed_or_single_area_records,arcgis_dissolved_locality_aggregate_records,unassigned_polygons_with_official_arcgis_electorate,arcgis_polygons_matching_special_non_geographic_rows,unassigned_polygons_in_localities_with_pending_ballots,unassigned_polygons_with_positive_population_proxy,polygons_requiring_assignment_followup
K17,1995,2661,2367,0,294,0,0,0,0,86,0,86
K18,2008,3030,2632,58,398,0,0,0,0,158,204,216
K19,2011,3115,2691,2,424,0,0,0,0,148,131,150
K20,2011,3115,2702,29,413,2826,35,0,0,151,120,180
K21,2011,3115,2664,29,451,2655,34,0,8,143,161,172
K22,2011,3115,2656,21,459,0,0,0,0,142,170,163
K23,2011,3115,2659,21,456,0,0,0,0,142,168,163
K24,2011,3115,2571,13,544,0,0,0,0,144,256,157
K25,2011,3115,2564,39,551,0,0,0,0,149,261,188
