election,rows,total_actual_voters,geographic_scope_rows,geographic_scope_actual_voters,mapped_geographic_rows,mapped_geographic_actual_voters,mapped_actual_voter_share,statistical_mode_mapped_rows,statistical_mode_mapped_actual_voters,statistical_mode_mapped_actual_voter_share,statistical_mode_pending_rows,statistical_mode_pending_actual_voters,locality_mode_mapped_rows,locality_mode_mapped_actual_voters,locality_mode_mapped_actual_voter_share,locality_mode_pending_rows,locality_mode_pending_actual_voters,statistical_area_rows,statistical_area_actual_voters,custom_geography_rows,custom_geography_actual_voters,unmapped_rows,unmapped_actual_voters,envelope_rows,envelope_actual_voters,special_non_geographic_rows,special_non_geographic_actual_voters,municipality_display_fallback_records,municipality_display_fallback_ballot_rows,municipality_display_fallback_actual_voters
K25,12545,4794593,11699,4331026,10893,4071493,0.849184,10893,4071493,0.940076,806,259533,11699,4331026,1.0,0,0,10893,4071493,0,0,1652,723100,846,463567,8,760,32,792,255412
K24,12926,4436365,12119,4010014,11251,3797858,0.856074,11251,3797858,0.947093,868,212156,12119,4010014,1.0,0,0,11251,3797858,0,0,1675,638507,807,426351,8,839,32,833,202743
K23,11179,4615135,10623,4284014,10006,3987638,0.864035,10006,3987638,0.930818,617,296376,10623,4284014,1.0,0,0,10006,3987638,0,0,1173,627497,556,331121,8,912,32,615,295712
K22,10901,4465168,10531,4181911,9922,3916554,0.877135,9922,3916554,0.936546,609,265357,10531,4181911,1.0,0,0,9922,3916554,0,0,979,548614,370,283257,8,815,32,607,264572
K21,10765,4340253,10452,4098524,9855,3873599,0.892482,9855,3873599,0.94512,597,224925,10452,4098524,1.0,0,0,9855,3873599,0,0,910,466654,313,241729,8,946,32,596,224699
K20,10414,4254738,10112,4019324,9545,3760120,0.883749,9545,3760120,0.935511,567,259204,10112,4019324,1.0,0,0,9545,3760120,0,0,869,494618,302,235414,7,815,33,563,258064
K19,10109,3833646,9875,3617176,9317,3404763,0.888127,9317,3404763,0.941277,558,212413,9875,3617176,1.0,0,0,9317,3404763,0,0,792,428883,234,216470,6,681,33,556,211739
K18,9264,3416587,9259,3229261,8741,3040009,0.889779,8741,3040009,0.941395,518,189252,9259,3229261,1.0,0,0,8693,3033877,48,6132,523,376578,5,187326,4,407,32,505,188962
K17,8426,3186739,8274,3011950,7916,2875470,0.902324,7916,2875470,0.954687,358,136480,8274,3011950,1.0,0,0,7872,2869141,44,6329,510,311269,152,174789,3,305,50,313,126182
